Variable,is_region_variable,no_region_coef,no_region_p_value,un_m49_coef,un_m49_p_value,wb_coef,wb_p_value,who_coef,who_p_value,models_present_count,significant_count_p_lt_0_05,min_p_value,max_p_value,stability_class
UN M49=South-eastern Asia,True,,,0.1073671263976551,0.2368468291960155,,,,,1,0,0.2368468291960155,0.2368468291960155,not_statistically_significant
UN M49=Micronesia,True,,,0.1634472498212857,0.312369730166673,,,,,1,0,0.312369730166673,0.312369730166673,not_statistically_significant
WHO_Region=Eastern Mediterranean Region,True,,,,,,,-0.0544785919646191,0.3817092095925485,1,0,0.3817092095925485,0.3817092095925485,not_statistically_significant
UN M49=Southern Europe,True,,,-0.0925231490342479,0.4784918399184658,,,,,1,0,0.4784918399184658,0.4784918399184658,not_statistically_significant
UN M49=Polynesia,True,,,0.097047517314821,0.4847500208665737,,,,,1,0,0.4847500208665737,0.4847500208665737,not_statistically_significant
UN M49=Northern Europe,True,,,-0.0754905833343679,0.5000905967975321,,,,,1,0,0.5000905967975321,0.5000905967975321,not_statistically_significant
UN M49=Central America,True,,,0.0612585210738677,0.5712326202254239,,,,,1,0,0.5712326202254239,0.5712326202254239,not_statistically_significant
UN M49=Eastern Africa,True,,,-0.0477762761656904,0.6505678277880804,,,,,1,0,0.6505678277880804,0.6505678277880804,not_statistically_significant
UN M49=South America,True,,,0.0437896356595429,0.6553664348121726,,,,,1,0,0.6553664348121726,0.6553664348121726,not_statistically_significant
WHO_Region=European Region,True,,,,,,,0.0319181027025794,0.6626310643583809,1,0,0.6626310643583809,0.6626310643583809,not_statistically_significant
UN M49=Western Europe,True,,,-0.0315372437291028,0.7865318981632525,,,,,1,0,0.7865318981632525,0.7865318981632525,not_statistically_significant
UN M49=Northern America,True,,,-0.033543687478118,0.7950688722216637,,,,,1,0,0.7950688722216637,0.7950688722216637,not_statistically_significant
UN M49=Eastern Asia,True,,,-0.0261422353260744,0.805332079407588,,,,,1,0,0.805332079407588,0.805332079407588,not_statistically_significant
UN M49=Eastern Europe,True,,,0.0191649710884051,0.8582261236397586,,,,,1,0,0.8582261236397586,0.8582261236397586,not_statistically_significant
UN M49=Southern Africa,True,,,0.020414704020941,0.8627521128387879,,,,,1,0,0.8627521128387879,0.8627521128387879,not_statistically_significant
UN M49=Western Africa,True,,,-0.0105189660136704,0.9384096308220288,,,,,1,0,0.9384096308220288,0.9384096308220288,not_statistically_significant
