model,n,observed_mean,fitted_mean,residual_mean,residual_std,residual_min,residual_q25,residual_median,residual_q75,residual_max,residual_abs_mean,residual_abs_max
un_m49,110,0.7541309237810135,0.7541309237810137,-1.1051765563314059e-16,0.09041318797690978,-0.2939364010270715,-0.05055048030520093,0.0006654625286206528,0.06281019742907851,0.25235817412671857,0.06923273035465437,0.2939364010270715
wb,110,0.7541309237810135,0.7541309237810134,-8.57899609937621e-18,0.10762987408882282,-0.3144480699417157,-0.060480709432178564,0.00358796242307291,0.07199572213643046,0.2853715701126369,0.08229277958851228,0.3144480699417157
who,110,0.7541309237810135,0.7541309237810141,-4.955631864463199e-16,0.11482296103093292,-0.3057445035012917,-0.0697923421277647,0.0013387552591251906,0.07745599739848977,0.383595580707877,0.0870510735857215,0.383595580707877
no_region,110,0.7541309237810135,0.7541309237810142,-7.473819543044803e-16,0.13439582845801995,-0.3415158254508647,-0.07241933505499937,0.005599539317946822,0.07164779916779826,0.4374958108377289,0.0997590418760116,0.4374958108377289
