"Variable","Coeff.","Std. Err.","t-value","P>|t|"
"WHO_Under5_Mortality_per_1000_live_births",-0.210207612190303,0.21105084247532135,-0.9960046106657122,0.3219787901086426
"WHO_Maternal_Mortality_per_100000_live_births",-0.04936606286759335,0.19379431353720508,-0.25473432097436616,0.7995226565778157
"WHO_Physician_Density_per_10000_population",-0.03931427373138016,0.10714747393468645,-0.36691741100070024,0.7145614483809344
"WHO_DTP3_Immunization_Coverage_pct",-0.1333081708759715,0.08365174615252481,-1.5936089443118926,0.11460931116212514
"WB_FY2026_Income_Group=Low income",-0.4422823098670033,0.1026024556641125,-4.3106405885146994,0.00004231647806385297
"WB_FY2026_Income_Group=Lower middle income",-0.17796925721943838,0.06992572881271651,-2.5451183740407917,0.012666461191469525
"WB_FY2026_Income_Group=Missing",-0.14839745598664025,0.11383610107395109,-1.3036062776801987,0.19576796970548282
"WB_FY2026_Income_Group=Upper middle income",-0.10390314683705072,0.05623139874477027,-1.8477780947377573,0.06799395285704724
"WB_FY2026_Lending_Category=IBRD",0.11727834159573697,0.06953620446451067,1.686579566700287,0.09522646499850995
"WB_FY2026_Lending_Category=IDA",0.048142218307048505,0.0595878134767264,0.8079205377430357,0.42131492738469056
"WB_FY2026_Lending_Category=Missing",0.23107962803499757,0.09736064368065381,2.3734398140684703,0.01979954442901999
"GDP_per_capita_current_USD",-0.08428691411367438,0.3031336466606127,-0.27805199139784603,0.781624698401646
"Life_expectancy_at_birth_years",0.13536828096560544,0.18659787804171718,0.7254545570734814,0.4700980533863768
"Internet_users_pct_population",-0.010734519878427669,0.1106722859095257,-0.09699374861745523,0.9229519230797985
"Urban_population_pct",-0.2369914285544902,0.09363777881432042,-2.530938169992624,0.013153002410547066
"GNI_per_capita_Atlas_current_USD",0.132701071376208,0.2759238672073194,0.4809336456440035,0.631757266588294
"WHO_Region=Eastern Mediterranean Region",-0.05447859196461927,0.06196668126508449,-0.8791594265241952,0.38170920959254717
"WHO_Region=European Region",0.03191810270257864,0.07291191960878776,0.4377624793564163,0.6626310643583841
"WHO_Region=Region of the Americas",0.12191628994696206,0.06624568254012847,1.8403658211704739,0.06908515720229702
"WHO_Region=South-East Asia Region",0.08490018106562257,0.06476110670438676,1.3109748332925206,0.19327702696730276
"WHO_Region=Western Pacific Region",0.19797314331023944,0.05801368151609927,3.4125250826445184,0.0009745256917397249
"Intercept",0.8793525979510899,0.17795739623367252,4.941365835654442,0.000003670265167565745
