"Variable","Coeff.","Std. Err.","t-value","P>|t|"
"WHO_Under5_Mortality_per_1000_live_births",0.024542203410147064,0.2328687413117366,0.10539071612575482,0.9163548387167149
"WHO_Maternal_Mortality_per_100000_live_births",-0.008088397100775422,0.2068614738418093,-0.039100548548545895,0.9689169603320089
"WHO_Physician_Density_per_10000_population",-0.013953660053354102,0.11263860578838596,-0.12387990738778168,0.9017508290324966
"WHO_DTP3_Immunization_Coverage_pct",-0.0355079053500931,0.08239508699522521,-0.4309468761426367,0.6677768533835531
"WB_FY2026_Income_Group=Low income",-0.19797423179170576,0.10822631594152786,-1.8292614884781497,0.07144424611991919
"WB_FY2026_Income_Group=Lower middle income",-0.03890713134471293,0.07370631012098805,-0.5278670344621421,0.5991925443363115
"WB_FY2026_Income_Group=Missing",-0.029000670930917537,0.11084479870972838,-0.26163312368731173,0.7943410968341249
"WB_FY2026_Income_Group=Upper middle income",-0.014799848507050998,0.057241959016884725,-0.25854895187436666,0.7967108735871501
"WB_FY2026_Lending_Category=IBRD",0.10358360976648033,0.07011316688478109,1.477377422370639,0.14387595542386922
"WB_FY2026_Lending_Category=IDA",0.059997284617872584,0.05762678808698649,1.0411353228173654,0.3012486745617442
"WB_FY2026_Lending_Category=Missing",0.24247346381859883,0.09790600849651325,2.4765943126691154,0.015581475575474004
"GDP_per_capita_current_USD",-0.1922353452852781,0.27627532773286123,-0.6958107582851413,0.4887566905037546
"Life_expectancy_at_birth_years",0.49916425871730746,0.19549351102415613,2.5533546157224025,0.012757598499772965
"Internet_users_pct_population",0.11356766020817483,0.12208299196913341,0.9302496471980999,0.35530797003863607
"Urban_population_pct",-0.2794793668924856,0.09714472099439758,-2.8769382837447584,0.005261688277643742
"GNI_per_capita_Atlas_current_USD",0.17677853018648765,0.2749901410662583,0.6428540656077312,0.5223329035180508
"UN M49=Central America",0.0612585210738677,0.10769639412194422,0.5688075406174222,0.5712326202254239
"UN M49=Central Asia",-0.1988511388813852,0.11582066851818354,-1.7168881981558075,0.09023996650943084
"UN M49=Eastern Africa",-0.04777627616569047,0.10503771202156793,-0.4548487895079085,0.6505678277880804
"UN M49=Eastern Asia",-0.02614223532607448,0.1056894450153625,-0.24734953733813791,0.805332079407588
"UN M49=Eastern Europe",0.01916497108840518,0.10690849896116784,0.17926517792908525,0.8582261236397586
"UN M49=Melanesia",0.20551485337767536,0.1181079809436553,1.740058984462011,0.08606288606950954
"UN M49=Micronesia",0.16344724982128572,0.16066742783484958,1.0173017146281418,0.312369730166673
"UN M49=Middle Africa",-0.274932444591088,0.11735849588504291,-2.3426718493426737,0.021874951257997436
"UN M49=Northern Africa",-0.25374915736916454,0.09707142879254771,-2.6140457653245663,0.010861602978336797
"UN M49=Northern America",-0.03354368747811806,0.12867483457755816,-0.26068568565285205,0.7950688722216637
"UN M49=Northern Europe",-0.07549058333436798,0.11138876502493916,-0.6777217012637331,0.5000905967975321
"UN M49=Polynesia",0.09704751731482106,0.13819306580750615,0.7022603974211113,0.48475002086657376
"UN M49=South America",0.04378963565954294,0.09771024918822901,0.4481580593985242,0.6553664348121726
"UN M49=South-eastern Asia",0.10736712639765512,0.09001975887632091,1.1927062206994794,0.23684682919601552
"UN M49=Southern Africa",0.020414704020941074,0.11767567389231594,0.17348278829167704,0.8627521128387879
"UN M49=Southern Asia",-0.20996023729918936,0.09697441014074565,-2.1651097129073493,0.03364826857249485
"UN M49=Southern Europe",-0.0925231490342479,0.1298764320051108,-0.7123936776351155,0.4784918399184658
"UN M49=Western Africa",-0.010518966013670422,0.13566634537542296,-0.07753555964496421,0.9384096308220287
"UN M49=Western Asia",-0.16742537739820562,0.09757309585459031,-1.7158969481476087,0.09042231393832874
"UN M49=Western Europe",-0.03153724372910281,0.11602486487043755,-0.27181452669063455,0.7865318981632525
"Intercept",0.46744830214376276,0.23366325516730105,2.0005212279058315,0.049163621879765446
