"Variable","Coeff.","Std. Err.","t-value","P>|t|"
"WHO_Under5_Mortality_per_1000_live_births",-0.19436262444759236,0.19843816673512,-0.9794619031480584,0.33006765140854416
"WHO_Maternal_Mortality_per_100000_live_births",-0.03668881397482368,0.18342641184521738,-0.20001925352922012,0.8419323226356529
"WHO_Physician_Density_per_10000_population",-0.00407839435706225,0.10143541496208608,-0.04020680901819792,0.9680203740708659
"WHO_DTP3_Immunization_Coverage_pct",-0.09697550707171705,0.0767328693524671,-1.2638066045238945,0.2096753059825153
"WB_FY2026_Income_Group=Low income",-0.40673732636759935,0.0958454898084015,-4.243677268285461,5.4767219776550426e-05
"WB_FY2026_Income_Group=Lower middle income",-0.13553148584793076,0.0669915284202711,-2.0231138032509794,0.046131247292824556
"WB_FY2026_Income_Group=Missing",-0.12428000635185116,0.10755881861147874,-1.1554608720719801,0.25106524620012816
"WB_FY2026_Income_Group=Upper middle income",-0.09136668688372954,0.05311039430931889,-1.7203164855377113,0.08893009115929555
"WB_FY2026_Lending_Category=IBRD",0.11139134029124985,0.06533043471922213,1.7050451412115775,0.09175449231023282
"WB_FY2026_Lending_Category=IDA",0.06922215276316135,0.05685188438317936,1.2175876580731588,0.22667287943103412
"WB_FY2026_Lending_Category=Missing",0.22436048380770351,0.09225009856652584,2.432089366776196,0.017061479872729907
"GDP_per_capita_current_USD",-0.10872122549570414,0.2889171242502583,-0.3763059243298104,0.7076056129288223
"Life_expectancy_at_birth_years",0.25954188042815335,0.18632728806180596,1.3929354263024623,0.16718856096810775
"Internet_users_pct_population",0.02711980693815068,0.10362191626139607,0.2617188324305681,0.7941568478922205
"Urban_population_pct",-0.25451980372745064,0.09054494468825983,-2.8109775162351167,0.00610145586465278
"GNI_per_capita_Atlas_current_USD",0.15413135779458803,0.2676972642574755,0.5757673998727982,0.5662587832847936
"WB_FY2026_Region=Europe & Central Asia",-0.18459706023086495,0.04980317000249933,-3.70653233964025,0.0003688707526179196
"WB_FY2026_Region=Latin America & Caribbean",-0.06436095368442517,0.05029783151729002,-1.2795969874427073,0.2040888518203126
"WB_FY2026_Region=Middle East, North Africa, Afghanistan & Pakistan",-0.26950230185722485,0.04601135624256028,-5.8572996726390025,8.193501345647462e-08
"WB_FY2026_Region=North America",-0.16331854715980468,0.09826670474174759,-1.661992712475892,0.1001134987404927
"WB_FY2026_Region=South Asia",-0.2321903206301159,0.0647594875969814,-3.5854255375692454,0.0005547839336415733
"WB_FY2026_Region=Sub-Saharan Africa",-0.15612731050197023,0.05309818833135089,-2.9403509876397727,0.0041989445363114315
"Intercept",0.9166219977750485,0.16991887003506756,5.394468534223877,5.843703081423565e-07
